County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
GATUNDU NORTH,"1,121",422,699,428,170,258,"1,821",603,"1,218",845,360,485,638,286,352,412,227,185
GATUNDU SOUTH,"1,182",476,706,389,180,209,"1,905",643,"1,261",881,390,491,690,287,403,383,212,171
GITHUNGURI,"1,390",541,849,545,254,291,"2,298",771,"1,527","1,048",432,616,760,332,428,488,274,214
JUJA,"1,709",678,"1,031",487,221,266,"1,529",559,969,814,371,443,621,294,327,561,316,245
KABETE,"1,264",496,768,320,139,181,"1,622",572,"1,050",714,331,383,534,238,295,399,212,187
KIAMBAA,"1,350",560,789,393,184,209,"1,599",591,"1,007",708,332,376,512,223,289,405,234,171
KIAMBU,905,321,584,280,129,151,"1,103",374,729,563,226,337,375,160,215,308,162,146
KIKUYU,"1,665",623,"1,042",404,172,232,"1,559",528,"1,031",771,344,427,512,230,282,378,203,175
LARI,"1,239",478,761,408,192,216,"1,616",567,"1,049",777,338,439,540,236,304,403,217,186
LIMURU,"1,238",476,762,382,176,206,"1,644",563,"1,081",709,299,410,512,224,288,372,199,173
RUIRU,"1,675",675,999,488,244,244,"1,373",572,801,791,378,413,572,276,296,590,309,281
THIKA EAST,352,144,208,102,47,55,445,144,301,218,96,122,149,60,89,110,56,54
THIKA WEST,"1,230",480,749,338,155,182,"1,060",430,630,524,221,301,427,186,240,377,200,176
TURKANA,"2,907","1,308","1,599","1,817",903,914,"3,184","1,628","1,556","2,071","1,093",978,"2,230","1,163","1,067","1,429",777,652
KIBISH,105,32,73,61,23,38,79,35,44,61,36,25,77,39,38,28,14,14
LOIMA,326,143,183,210,105,105,336,154,182,161,68,93,172,77,95,127,53,74
TURKANA CENTRAL,586,243,343,391,194,197,612,298,314,299,146,153,337,163,174,218,116,102
TURKANA EAST,302,158,144,295,160,135,413,235,178,322,186,136,344,195,149,281,169,112
TURKANA NORTH,203,76,127,102,37,65,166,67,99,84,40,44,99,34,65,64,29,35
TURKANA SOUTH,487,220,267,312,154,158,559,291,268,328,150,178,399,212,187,204,111,93
TURKANA WEST,898,436,462,446,230,216,"1,019",548,471,816,467,349,802,443,359,507,285,222
WEST POKOT,"1,909",862,"1,047","1,527",733,794,"2,271","1,051","1,220","1,269",593,676,"1,249",587,662,"1,030",524,506
KIPKOMO,311,150,161,245,116,129,460,216,244,215,102,113,155,81,74,122,69,53
POKOT CENTRAL,249,108,141,240,108,132,303,142,161,125,51,74,119,54,65,109,58,51
POKOT NORTH,371,157,214,239,122,117,377,171,206,186,92,94,209,98,111,131,68,63
POKOT SOUTH,106,46,60,107,53,54,182,77,105,112,55,57,119,56,63,83,38,45
WEST POKOT,872,401,471,696,334,362,949,445,504,631,293,338,647,298,349,585,291,294
SAMBURU,"1,302",511,791,908,416,492,"1,096",521,575,612,301,311,680,318,362,448,234,214
SAMBURU CENTRAL,611,248,363,469,236,233,543,274,269,312,165,147,335,163,172,224,131,93
SAMBURU EAST,507,184,323,329,128,201,374,162,212,188,79,109,223,101,122,139,61,78
SAMBURU NORTH,184,79,105,110,52,58,179,85,94,112,57,55,122,54,68,85,42,43
TRANS NZOIA,"6,609","2,916","3,693","2,727","1,273","1,454","6,166","2,574","3,591","3,639","1,596","2,043","2,272","1,169","1,103","2,522","1,399","1,123"
TRANS NZOIA WEST,"1,305",594,711,539,260,279,"1,073",470,603,568,234,334,393,208,185,395,225,170
TRANS NZOIA EAST,"1,429",613,816,603,282,321,"1,425",574,851,830,372,458,509,265,244,487,277,210
KWANZA,"1,151",502,649,538,260,278,"1,160",493,666,716,333,383,454,245,209,570,315,255
ENDEBESS,916,421,495,413,190,223,837,353,484,417,185,232,287,145,142,383,232,151
